name,edm_cluster_7,edm_cluster_6,edm_cluster_5,edm_cluster_4,edm_cluster_3,edm_cluster_2,edm_cluster_1,edm_cluster_0,edm_cluster_9,edm_cluster_8
release,0.002978,0.003585,0.00497,0.001663,0.002284,0.001759,0.009133,0.004231,0.005344,0.005553
many,0.004825,0.00477,0.004048,0.002458,0.003361,0.00726,0.002885,0.002598,0.003512,0.005682
tour,0.002274,0.005362,0.002636,0.00228,0.012279,0.001834,0.003877,0.002267,0.004329,0.004255
djing,0.000277,0.000776,0.000302,0.024951,0.007267,0.00393,0.001703,0.000816,0.000523,0.000839
friends,0.002413,0.004054,0.00253,0.002387,0.004107,0.009134,0.004911,0.002382,0.003564,0.005697
http://t.co/epg1ajfzlu,0.0,0.0,0.035518,0.005552,0.0,0.0,0.0,0.0,0.0,0.0
part,0.01089,0.003364,0.002114,0.001627,0.002427,0.004398,0.003137,0.003927,0.004475,0.004551
http://t.co/ceui3a65qr,0.0,0.000832,0.011173,0.017915,0.008244,0.0,0.00088,0.001484,0.000377,0.0
techno,0.000235,0.00456,0.000963,0.000715,0.001078,0.002564,0.009198,0.008913,0.003601,0.009046
diplo,0.000939,0.002714,0.009385,0.013526,0.004481,0.004273,0.00289,0.001066,0.000309,0.001213
place,0.00136,0.002572,0.001649,0.001716,0.01936,0.004159,0.001987,0.001316,0.002439,0.003952
little,0.004494,0.004125,0.003281,0.003031,0.00303,0.00445,0.003466,0.004386,0.005716,0.004429
featuring,0.004615,0.001841,0.00506,0.002405,0.002269,0.000914,0.006597,0.002908,0.006773,0.00695
look,0.004392,0.004665,0.002938,0.002154,0.002269,0.006306,0.003697,0.003414,0.005307,0.005165
watching,0.002972,0.00438,0.002285,0.001788,0.008646,0.003787,0.001232,0.00305,0.007694,0.00447
tracks,0.001065,0.004286,0.003012,0.005382,0.004883,0.001154,0.007406,0.00751,0.001513,0.004044
join,0.003538,0.00366,0.001338,0.002628,0.005845,0.005964,0.006402,0.001161,0.004193,0.005479
years,0.00361,0.004796,0.002261,0.007223,0.002657,0.005101,0.00285,0.003016,0.00379,0.004802
very,0.005698,0.004466,0.003346,0.002378,0.002872,0.004267,0.003027,0.003563,0.004533,0.005934
pretty,0.004073,0.00483,0.004701,0.001859,0.003447,0.004353,0.003146,0.004757,0.005627,0.00319
asap,0.000313,0.001009,0.000441,0.023994,0.00698,0.004398,0.001461,0.000466,0.000508,0.00041
ellie,0.000391,0.0,0.000677,0.036483,0.000115,0.0,0.000397,0.001721,8.9e-05,0.000107
bingo,0.00136,0.006738,0.002212,0.013061,0.004194,0.003387,0.001651,0.002827,0.00101,0.003508
ticket,0.001991,0.001882,0.00191,0.000751,0.004567,0.025431,0.001574,0.000466,0.000497,0.000477
goulding,0.000325,0.0,0.000628,0.036054,8.6e-05,0.0,0.000372,0.001714,0.0,0.0001
daisy,0.00015,0.000802,0.000547,0.001627,0.000977,0.029761,0.000642,0.001026,0.000157,0.003523
reggae,0.0,0.000116,0.000326,0.0,0.0,8.6e-05,0.006747,0.00612,0.024434,0.001309
looking,0.003327,0.004027,0.002122,0.001457,0.00293,0.007192,0.005602,0.00307,0.004575,0.00481
fans,0.001342,0.00333,0.005435,0.001734,0.003763,0.002531,0.010435,0.002348,0.003732,0.004414
electronic,0.002166,0.001069,0.004007,0.002512,0.001077,0.001377,0.007974,0.009587,0.00133,0.00793
zedd,0.001137,0.003168,0.007819,0.005801,0.008573,0.003506,0.005465,0.001815,9.4e-05,0.001534
enjoy,0.001257,0.003997,0.002383,0.003799,0.00349,0.002942,0.007867,0.004123,0.002884,0.006011
brokenrecords,0.0,0.0,0.0,0.011407,0.0,0.0,0.008977,0.008245,0.0,0.0101
making,0.00346,0.004466,0.003134,0.002074,0.00349,0.004604,0.004449,0.006133,0.002727,0.004133
http://t.co/pjzzd8qks7,0.0,0.001774,0.009598,0.018747,0.008186,0.000149,0.0,0.0,0.0,0.0
artist,0.001354,0.0021,0.009083,0.00261,0.001336,0.001205,0.0059,0.008865,0.003157,0.002684
makes,0.004356,0.004177,0.004415,0.003013,0.002944,0.003684,0.003126,0.004878,0.003193,0.004503
goes,0.004603,0.003251,0.003501,0.002977,0.004323,0.003867,0.003507,0.003056,0.004025,0.004588
someone,0.002996,0.003094,0.007598,0.001582,0.002212,0.004484,0.002335,0.004784,0.004857,0.003708
doing,0.003622,0.003705,0.003493,0.002467,0.003117,0.005958,0.002944,0.004338,0.004658,0.003157
white,0.015643,0.001511,0.000906,0.001457,0.00102,0.004324,0.002143,0.002038,0.00269,0.005712
soulful,0.000132,0.00111,0.000261,0.02783,0.0,8.6e-05,0.000379,0.001019,0.002225,0.004307
fuck,0.001588,0.004087,0.002114,0.001502,0.003835,0.008254,0.002629,0.004737,0.005067,0.003379
something,0.003748,0.004181,0.002889,0.001627,0.002485,0.003781,0.003982,0.004001,0.003973,0.00647
post,0.013567,0.00219,0.001926,0.001314,0.002169,0.00453,0.002375,0.003326,0.002423,0.003305
latest,0.004452,0.001916,0.010079,0.001368,0.001982,0.001217,0.005799,0.003556,0.002963,0.003442
smith,0.031256,0.00021,0.000253,0.002593,0.0,0.000246,0.000887,0.000236,0.000874,0.000159
sander,0.0,0.011894,0.001363,0.009324,0.001034,0.001617,0.003123,0.002564,0.004847,0.000902
yeah,0.00216,0.004597,0.003762,0.002181,0.004337,0.005352,0.002215,0.003751,0.005553,0.002699
june,0.001721,0.002351,0.003273,0.00093,0.001077,0.007769,0.014165,0.000783,0.001549,0.002932
same,0.003929,0.004383,0.002816,0.002137,0.003648,0.006175,0.002507,0.003009,0.004465,0.003475
those,0.005427,0.003896,0.00253,0.002065,0.003145,0.005804,0.002935,0.00255,0.0038,0.004373
month,0.001661,0.002149,0.001412,0.000966,0.001192,0.00417,0.002018,0.020107,0.001497,0.001268
mind,0.009615,0.004537,0.002383,0.003147,0.001867,0.002565,0.00233,0.003738,0.002387,0.003834
fucking,0.00163,0.005261,0.002367,0.002923,0.007497,0.004747,0.002444,0.004102,0.002518,0.002728
martin,0.00056,0.003956,0.002685,0.014044,0.003073,0.002645,0.003349,0.003333,0.000743,0.001752
dub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036137,0.0
episode,0.001143,0.007466,0.001045,0.000831,0.005314,0.00112,0.007069,0.002254,0.005705,0.003989
doorn,0.0,0.011714,0.001322,0.009145,0.00079,0.001542,0.003099,0.002571,0.0048,0.000913
until,0.002894,0.005276,0.001779,0.001672,0.003303,0.009277,0.002326,0.002348,0.002659,0.004207
start,0.002876,0.003836,0.002652,0.002011,0.003016,0.005786,0.003556,0.004325,0.003444,0.004226
epic,0.000746,0.006844,0.001959,0.001618,0.008,0.004495,0.00368,0.004527,0.001319,0.002521
during,0.002774,0.003075,0.007117,0.00194,0.005328,0.007192,0.001314,0.001329,0.001712,0.003671
version,0.002611,0.002212,0.006252,0.003567,0.001853,0.000463,0.002698,0.00674,0.008129,0.000906
nilerodgers,0.002022,0.0,0.033101,8.9e-05,0.0,0.0,0.0,0.0,0.0,0.000155
alive,0.000265,0.001279,0.000424,0.004121,0.019001,0.000765,0.001219,0.002308,0.000586,0.005364
adam,0.000295,0.000397,0.030996,0.000751,0.0,0.000337,0.000574,0.000762,0.000565,0.00058
chance,0.002744,0.004001,0.003158,0.003335,0.004409,0.008603,0.002192,0.001059,0.002099,0.003656
wish,0.002352,0.004376,0.003452,0.004175,0.004237,0.007723,0.001366,0.001538,0.002978,0.002847
didn,0.005415,0.003094,0.005297,0.001448,0.00237,0.005124,0.001851,0.002955,0.004721,0.002473
stay,0.001847,0.003356,0.002938,0.001573,0.001752,0.003759,0.003791,0.003772,0.00213,0.009823
find,0.003766,0.004042,0.003354,0.001913,0.002212,0.005861,0.002897,0.002949,0.003502,0.00417
deephouse,0.000409,0.005957,0.000931,0.001627,0.000431,0.000628,0.011934,0.002234,0.000979,0.009446
7278,0.0,0.000341,0.0,0.024048,0.006707,0.003382,0.0,0.0,0.0,0.0
event,0.002407,0.003292,0.001241,0.001243,0.002154,0.004787,0.005376,0.001019,0.001821,0.010965
gold,0.001041,0.004882,0.000947,0.012194,0.000919,0.002605,0.002284,0.004372,0.002172,0.002307
feels,0.000626,0.003817,0.003028,0.015922,0.001048,0.001314,0.001033,0.004237,0.000974,0.001641
birthday,0.000764,0.004799,0.001877,0.004086,0.008517,0.004158,0.001733,0.000843,0.003674,0.002836
already,0.002563,0.00396,0.002742,0.002137,0.003777,0.00734,0.001912,0.001896,0.003638,0.003135
haha,0.00127,0.004657,0.002171,0.002467,0.003188,0.009591,0.001997,0.002375,0.002722,0.002625
cool,0.003333,0.003079,0.003012,0.00135,0.003806,0.003416,0.002897,0.004871,0.003957,0.003202
stars,0.000548,0.000851,0.003697,0.000519,0.00316,0.000189,0.00231,0.013758,0.00558,0.002159
mysterylandusa,0.000144,0.006495,0.00093,0.001501,0.003992,0.008676,0.000564,0.001147,0.000701,0.00848
head,0.002455,0.002917,0.006219,0.001645,0.001163,0.005592,0.002352,0.002861,0.003256,0.004141
state,0.00737,0.01513,0.000326,0.000536,0.000618,0.001822,0.001538,0.000823,0.002099,0.002292
special,0.003147,0.004297,0.002236,0.001582,0.003533,0.00373,0.003727,0.002132,0.003926,0.004133
rnb,0.0,0.0,0.0,0.002673,0.0,0.0,0.011004,0.018393,7.9e-05,0.000255
http://t.co/scs3oywkgs,0.002196,0.000634,0.011581,0.012838,0.004452,0.0,0.000172,0.00031,0.000126,0.0
jesse,0.000722,0.0,0.0,0.000581,0.0,0.0,0.004285,0.000128,0.000272,0.026093
wanna,0.001558,0.004286,0.002073,0.002047,0.003562,0.006009,0.002711,0.002699,0.003931,0.003046
close,0.001462,0.003596,0.001747,0.012319,0.004251,0.002873,0.001162,0.000992,0.001853,0.001619
played,0.002268,0.002857,0.007239,0.002485,0.004596,0.002902,0.001402,0.00303,0.002617,0.002362
around,0.002383,0.003918,0.001893,0.001859,0.002398,0.004558,0.003974,0.002389,0.003366,0.004946
anyone,0.003634,0.003465,0.00315,0.001278,0.002714,0.006432,0.002143,0.002976,0.002696,0.003116
nice,0.003026,0.004076,0.002995,0.002074,0.002571,0.003302,0.002018,0.003023,0.004983,0.003471
carnival,0.000156,0.00057,0.000482,0.001064,0.000905,0.023929,0.000661,0.000668,0.000162,0.002872
thomasgold,0.000126,0.003656,0.000743,0.005918,0.003016,0.00678,0.001609,0.001194,0.002371,0.006055
crazy,0.001426,0.003285,0.003101,0.001618,0.004079,0.005147,0.003158,0.003698,0.003229,0.002714
electric_forest,0.0,0.009239,0.000335,0.00329,0.001723,0.006472,0.000384,0.001005,0.000455,0.008484
twitter,0.006432,0.002051,0.001363,0.001135,0.001881,0.002793,0.002527,0.008083,0.00235,0.00274
encorebeachclub,0.0,0.000836,0.024688,0.000152,0.0,0.004793,0.000696,0.0,0.0,0.000133
sandervandoorn,0.0,0.004476,0.002179,0.007151,0.004497,0.004153,0.001192,0.001215,0.001639,0.004784
list,0.006275,0.002981,0.002359,0.003397,0.003619,0.003233,0.002949,0.001005,0.001994,0.00342
pasqualerotella,0.0,0.007031,0.000106,0.000608,0.000546,0.020352,0.000398,0.000189,0.000115,0.001837
dada,0.0,0.007345,0.002244,0.00666,0.001206,0.005587,0.001268,0.004156,0.00079,0.001915
english,0.000415,9.7e-05,0.0,0.0,0.0,0.0,0.00015,0.000331,0.029934,0.000218
electricarea,0.0,0.005857,0.002889,0.007858,0.011864,0.00084,0.000326,0.000378,0.000136,0.000909
traxsource,0.0,0.0,0.0,0.00059,0.0,0.0,0.00013,0.000128,0.000277,0.029553
presents,0.000776,0.00399,0.001379,0.001529,0.00517,0.001148,0.004527,0.005823,0.003109,0.003216
pop,0.0,0.000139,0.000376,0.0,0.0,0.000383,0.017305,0.012144,0.0,0.000299
sale,0.00281,0.003214,0.001828,0.000787,0.003303,0.01331,0.001308,0.000607,0.00135,0.002092
times,0.003129,0.002914,0.002277,0.001609,0.007066,0.005078,0.001787,0.001316,0.002491,0.002861
called,0.00231,0.001657,0.001665,0.001779,0.007368,0.00104,0.005447,0.004831,0.00224,0.002152
saunders,0.0,0.0,0.0,0.000232,0.0,0.0,0.00408,0.0,0.0,0.025959
sleeps,0.0,0.02939,0.0,0.0,0.000416,8.6e-05,0.0,0.0,0.0,0.000152
open,0.004663,0.003881,0.001094,0.002441,0.004122,0.003507,0.003354,0.001228,0.002198,0.003527
tell,0.005385,0.002527,0.003134,0.001663,0.001738,0.003107,0.002051,0.003009,0.00381,0.003556
boston,0.002155,0.000832,0.014625,0.000751,0.003791,0.000714,0.003133,0.000756,0.001654,0.001272
everything,0.002659,0.002921,0.001787,0.005391,0.001436,0.002439,0.002787,0.004683,0.002753,0.002802
tomorrowworld,0.0,0.003255,0.001143,0.002298,0.011476,0.003415,0.004332,0.001005,0.0,0.002688
spotify,0.00281,0.002017,0.009631,0.004962,0.001393,0.000166,0.003508,0.002611,0.000843,0.00149
needs,0.002587,0.002419,0.001844,0.000983,0.001881,0.002896,0.002004,0.006875,0.005192,0.002647
team,0.002894,0.001496,0.002293,0.001529,0.003217,0.002588,0.002216,0.001754,0.008998,0.002196
siriusxmarea,0.0,0.005516,0.002824,0.007581,0.011389,0.000566,0.000124,0.000344,0.000126,0.00071
finally,0.00219,0.00354,0.003836,0.001278,0.003361,0.005027,0.002142,0.0022,0.003078,0.002518
friend,0.00426,0.003544,0.001485,0.007125,0.001422,0.003125,0.001801,0.001788,0.002031,0.002532
through,0.003387,0.003019,0.002832,0.00118,0.002284,0.003644,0.002267,0.003144,0.003612,0.003567
http://t.co/icsx1tmdpc,0.0,0.0,0.021978,0.006893,0.0,0.0,0.0,0.0,0.0,0.0
edmfamily,0.0,0.000806,0.000351,0.000983,0.002341,0.003884,0.015981,0.002639,0.00011,0.001712
myself,0.00204,0.002419,0.003338,0.005829,0.001407,0.002513,0.004226,0.002382,0.002272,0.002218
remixes,0.001492,0.001335,0.003313,0.00472,0.002987,0.000217,0.005771,0.006187,0.001329,0.001275
tnm,0.000108,0.0,0.000139,0.0,0.000316,0.000131,0.026289,0.000594,0.0,0.00102
congrats,0.001853,0.003041,0.00466,0.001287,0.006635,0.002296,0.001039,0.000621,0.005025,0.002122
http://t.co/pjzzd89hq7,0.0,0.000949,0.005109,0.016127,0.005975,0.000114,0.0,0.0,0.0,0.0
sick,0.001661,0.002857,0.003656,0.001547,0.005386,0.00261,0.002973,0.004149,0.001518,0.001911
apollo,0.002623,0.0,0.0,0.0,0.025249,0.0,0.0,0.0,0.000173,0.0
experience,0.000842,0.002974,0.001224,0.00093,0.00191,0.007083,0.001797,0.001113,0.001654,0.008425
alert,0.001143,0.000311,0.000359,0.014447,0.000273,0.00036,0.000552,0.000337,0.000728,0.009368
africa,0.000138,0.000405,0.000147,0.000125,0.000244,0.000217,0.023905,0.000614,0.00034,0.001649
hour,0.001534,0.004166,0.001853,0.000912,0.005271,0.002325,0.002951,0.003306,0.002225,0.003157
new,0.0,0.0,0.000416,0.000116,0.000273,0.000171,0.016326,0.008994,0.000465,0.000846
looks,0.002413,0.0027,0.00284,0.0016,0.002556,0.004421,0.001324,0.002011,0.002512,0.005172
share,0.002647,0.001534,0.001469,0.001734,0.001795,0.002468,0.003669,0.00305,0.002581,0.006599
enter,0.001167,0.002887,0.002065,0.002476,0.003217,0.008894,0.001806,0.000681,0.001335,0.00295
welcome,0.001282,0.002486,0.001461,0.001341,0.002341,0.002422,0.004489,0.001147,0.002162,0.008322
musicfam,0.000108,0.0,0.0,0.0,0.000115,0.0,0.026091,0.00058,0.0,0.000492
shows,0.003851,0.00321,0.002179,0.001627,0.00247,0.003444,0.003881,0.001606,0.002366,0.002628
dancing,0.001528,0.002089,0.00546,0.001367,0.001436,0.0022,0.003233,0.005209,0.001486,0.003179
jso,0.0,0.0,0.0,0.0,0.0,0.0,0.02606,0.000614,0.0,0.000488
things,0.003604,0.003052,0.001869,0.001457,0.001178,0.003861,0.002157,0.002591,0.00312,0.004181
newmusic,0.000427,0.000213,0.001224,0.001367,0.000718,0.000349,0.009428,0.011214,0.001387,0.000728
done,0.003466,0.002554,0.002383,0.001019,0.002413,0.003239,0.002189,0.002895,0.004119,0.002662
girl,0.001372,0.002516,0.002114,0.002968,0.001465,0.00489,0.00272,0.002732,0.00381,0.002329
high,0.002659,0.001834,0.001232,0.001028,0.000704,0.003142,0.002182,0.002814,0.008945,0.002351
taking,0.001763,0.002171,0.002726,0.001234,0.003389,0.003239,0.006498,0.001322,0.001994,0.002466
school,0.002774,0.001957,0.001591,0.000715,0.000416,0.002605,0.001274,0.001714,0.008594,0.005076
thursday,0.00136,0.004942,0.001143,0.00228,0.002011,0.005809,0.003224,0.001012,0.002026,0.002891
line,0.002112,0.003574,0.001632,0.001824,0.001881,0.007209,0.001721,0.001221,0.002518,0.002969
sign,0.017153,0.001575,0.000416,0.000438,0.000991,0.001588,0.001058,0.000533,0.000748,0.002144
though,0.003905,0.002707,0.001967,0.001564,0.002169,0.00373,0.001383,0.002308,0.00515,0.001752
together,0.004115,0.002685,0.002775,0.001654,0.002212,0.00409,0.002244,0.002085,0.001989,0.002743
read,0.008381,0.001751,0.002277,0.000724,0.001666,0.002719,0.002389,0.001295,0.002109,0.003272
waiting,0.001414,0.002835,0.002195,0.006392,0.00395,0.002999,0.001214,0.001511,0.001916,0.002104
damn,0.001931,0.003105,0.002301,0.001716,0.003117,0.004873,0.001705,0.001619,0.003873,0.002207
working,0.003159,0.002246,0.002807,0.001591,0.002039,0.002987,0.002959,0.002976,0.002717,0.002872
used,0.004741,0.00216,0.004636,0.004398,0.001264,0.001308,0.00112,0.002787,0.002471,0.001427
fire,0.008495,0.001845,0.001241,0.001699,0.001394,0.001542,0.00286,0.00311,0.002727,0.001397
catch,0.001354,0.002407,0.00204,0.001117,0.005544,0.002788,0.002589,0.002092,0.003622,0.002743
skool,0.0,9.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000178,0.025993
review,0.01403,0.001421,0.002457,0.001287,0.000416,0.001165,0.001343,0.000992,0.001523,0.001605
hours,0.00133,0.004308,0.001649,0.000876,0.00293,0.004615,0.002425,0.002051,0.002047,0.003897
originator,0.0,0.0,0.0,0.0,0.0,0.0,0.001213,0.0,0.0,0.024836
meet,0.001227,0.004436,0.001396,0.002432,0.003677,0.005375,0.001891,0.000877,0.002099,0.002636
gotta,0.001125,0.002055,0.001542,0.002056,0.001623,0.003433,0.00372,0.001903,0.005862,0.00258
producer,0.000433,0.001144,0.002105,0.001082,0.00102,0.001851,0.009257,0.004838,0.001094,0.003016
trip,0.00074,0.001867,0.002375,0.000822,0.002384,0.004644,0.003958,0.000681,0.006846,0.001386
guest,0.001865,0.003135,0.002497,0.002154,0.00247,0.002765,0.004797,0.001687,0.002198,0.002126
giving,0.002088,0.003124,0.001551,0.003817,0.003418,0.005615,0.001538,0.000938,0.001612,0.001915
lambert,0.0,0.0,0.025169,0.000116,0.0,0.0,0.0,0.0,0.0,0.000237
light,0.001612,0.002235,0.00093,0.002977,0.000632,0.003758,0.002622,0.002301,0.006909,0.001519
girls,0.001011,0.001136,0.001159,0.002145,0.001451,0.004524,0.003697,0.00143,0.002245,0.006695
lasvegas,0.0,0.001331,0.0016,0.001001,0.000977,0.016874,0.002273,0.000189,0.000257,0.000961
everybody,0.000415,0.000716,0.000498,0.000545,0.017062,0.000988,0.00174,0.000762,0.001654,0.001083
studio,0.001576,0.002313,0.004407,0.001252,0.00214,0.000908,0.004816,0.002767,0.002758,0.002525
worldwide,0.000265,0.002317,0.005003,0.009986,0.004064,0.000274,0.001195,0.000688,0.000293,0.001349
shoutslice,0.0013,0.005666,0.000751,0.015296,0.0,0.0,0.002364,0.0,0.0,0.0
such,0.002689,0.003367,0.003313,0.002405,0.002743,0.002828,0.001691,0.001599,0.001905,0.002795
gets,0.002792,0.00258,0.002807,0.00169,0.002183,0.002348,0.002114,0.002395,0.003905,0.002462
name,0.003935,0.002081,0.002538,0.00202,0.00158,0.001497,0.002759,0.002928,0.00358,0.002336
bring,0.002016,0.003813,0.0012,0.001547,0.002456,0.003702,0.002136,0.001869,0.003067,0.003416
soul,0.000782,0.001211,0.000946,0.001118,0.000388,0.000451,0.007439,0.002889,0.005935,0.004022
records,0.003267,0.001354,0.001355,0.00076,0.000862,0.000588,0.003006,0.00421,0.005574,0.004203
mashup,0.000415,0.001238,0.005312,0.002691,0.008776,0.000257,0.003207,0.00166,0.000461,0.000824
rage,0.000205,0.002239,0.000792,0.001207,0.002844,0.00562,0.007546,0.002665,0.000566,0.001149
remember,0.00148,0.003124,0.001673,0.001734,0.001867,0.003667,0.00162,0.003131,0.003507,0.002939
tuned,0.000896,0.007874,0.001036,0.003272,0.003677,0.000971,0.001381,0.000843,0.000885,0.003793
progressive,0.00062,0.007132,0.000286,0.000277,0.001292,0.000823,0.004064,0.004952,0.000372,0.004787
orlando,0.000403,0.000491,0.000261,0.000215,0.000115,0.020427,0.001292,0.000189,0.000743,0.000447
money,0.005529,0.001166,0.000579,0.000805,0.000761,0.003222,0.001714,0.004547,0.004198,0.001915
coachella,0.004874,0.00201,0.000261,0.003469,0.000646,0.006484,0.001517,0.000681,7.9e-05,0.004229
heart,0.001949,0.003015,0.002481,0.002226,0.000934,0.001325,0.001994,0.003866,0.003528,0.002906
doesn,0.00364,0.002179,0.001877,0.001475,0.001393,0.002571,0.003982,0.002206,0.002654,0.002177
york,0.002334,0.000881,0.001012,0.001529,0.002729,0.00738,0.00127,0.000776,0.001361,0.00488
stream,0.001637,0.002651,0.001485,0.000867,0.005932,0.002268,0.002813,0.002152,0.001649,0.002614
pure,0.000487,0.003199,0.000457,0.000733,0.000531,0.000394,0.001486,0.008528,0.000366,0.007882
actually,0.003604,0.002111,0.002587,0.001144,0.001609,0.002679,0.001522,0.002827,0.003664,0.002299
giveaway,0.009012,0.000746,0.000343,0.002753,0.001249,0.006301,0.001009,0.000263,0.000922,0.001324
mixtape,0.000174,0.000904,0.00022,0.000849,0.000101,0.000263,0.010545,0.003623,0.004926,0.002248
super,0.002407,0.002471,0.001575,0.001091,0.002126,0.002873,0.002667,0.002389,0.00414,0.002111
seen,0.003153,0.002629,0.001877,0.001421,0.002614,0.003473,0.001247,0.001977,0.003533,0.001871
preview,0.000656,0.001894,0.003444,0.003567,0.003059,0.000765,0.004075,0.002503,0.00178,0.002018
nowstreaming,0.000836,0.003472,0.002914,0.010808,0.005099,0.0,0.000165,0.000196,0.000215,0.0
dope,0.001979,0.001807,0.001485,0.001457,0.001767,0.002233,0.003615,0.003845,0.003004,0.002396
number,0.001221,0.001447,0.001869,0.001126,0.00968,0.000908,0.002156,0.003239,0.000827,0.001102
podcast,0.001178,0.002801,0.001486,0.00067,0.003648,0.000828,0.006425,0.002131,0.000853,0.003538
sets,0.001137,0.00402,0.00071,0.001243,0.005099,0.005398,0.001547,0.001093,0.001031,0.002259
dyro,0.0,0.0,0.0,0.008546,0.014246,0.000331,0.000214,0.0,0.0,0.000181
lets,0.000794,0.002617,0.001134,0.001296,0.002556,0.002673,0.002156,0.004035,0.004213,0.001985
thought,0.003249,0.002347,0.002497,0.0016,0.001537,0.002673,0.00127,0.00305,0.003575,0.00156
tweet,0.004139,0.002524,0.002171,0.000903,0.002197,0.003999,0.001578,0.001855,0.001984,0.001956
info,0.005048,0.002805,0.001608,0.001091,0.001163,0.004398,0.002008,0.001053,0.001324,0.002736
thedrop_edm,0.000331,0.005182,0.001306,0.00388,0.00102,0.002336,0.001206,0.002213,0.00078,0.004961
http://t.co/goovpdmg1e,0.002046,0.000382,0.006725,0.01012,0.003461,0.0,0.000144,0.000101,0.000126,0.0
rap,0.0,0.0,0.0,0.0,0.0,0.0,0.00339,0.018284,0.000943,0.000485
aloe,0.0,0.0,0.022819,8.9e-05,0.0,0.0,0.0,0.0,0.0,0.0
prod,0.001017,0.000622,0.000424,0.01105,0.000115,0.0,0.00124,0.001322,0.006045,0.001072
black,0.002491,0.000956,0.001232,0.000831,0.000689,0.002582,0.001907,0.002085,0.00659,0.003523
charts,0.000199,0.000701,0.002106,0.000697,0.000302,0.000126,0.00638,0.011193,0.000215,0.000961
jessesndrs,0.0,0.0,0.0,0.00025,0.0,0.0,0.000792,0.0,0.0,0.021823
soundtrack,0.000842,0.001451,0.00528,0.00506,0.00089,0.000406,0.000642,0.002098,0.005773,0.000399
lose,0.007779,0.001395,0.000367,0.006848,0.000704,0.001102,0.000912,0.001775,0.001094,0.000787
public,0.018339,0.000461,0.000237,0.000161,0.0,0.000783,0.000534,0.000567,0.00078,0.000865
young,0.001035,0.001091,0.00182,0.007474,0.002054,0.000863,0.00154,0.002348,0.002863,0.00163
david,0.00163,0.001541,0.005036,0.005471,0.001235,0.000737,0.002637,0.001984,0.00146,0.000965
level,0.001504,0.001057,0.002579,0.010692,0.000747,0.001445,0.001249,0.001262,0.000937,0.001054
main,0.000572,0.003345,0.000922,0.001314,0.006118,0.003199,0.002037,0.000897,0.001157,0.002902
sleep,0.000734,0.003015,0.001216,0.005561,0.002786,0.002885,0.001912,0.001066,0.001387,0.001893
having,0.002076,0.00225,0.001975,0.001064,0.001896,0.004644,0.001552,0.002476,0.002167,0.002322
archive,0.000156,0.000109,0.000498,0.000116,0.0,8e-05,0.00028,0.018845,0.002298,0.0
came,0.001793,0.002149,0.001934,0.002396,0.001594,0.002862,0.002695,0.002355,0.002769,0.001763
nyc,0.000932,0.002628,0.001037,0.001064,0.001436,0.002347,0.006809,0.001302,0.001267,0.003449
nyrangers,0.0,0.00063,0.0,0.0,0.0,0.0002,0.0,0.000567,0.001366,0.019453
brand,0.001612,0.000862,0.00453,0.000769,0.005702,0.000623,0.002364,0.00168,0.0019,0.002144
2012,0.001384,0.002122,0.002677,0.004381,0.002068,0.003565,0.000684,0.002868,0.001146,0.001287
blacc,0.0,0.0,0.022093,8.9e-05,0.0,0.0,0.0,0.0,0.0,0.0
park,0.004458,0.001399,0.000718,0.004506,0.002528,0.001417,0.000934,0.001309,0.002167,0.002677
tbt,0.000488,0.003049,0.001004,0.001555,0.001925,0.006735,0.002782,0.001167,0.001429,0.001974
both,0.002744,0.002164,0.002318,0.001564,0.0026,0.003165,0.001106,0.001228,0.003612,0.001571
points,0.007719,0.00066,0.00053,0.006866,0.000747,0.00064,0.000329,0.002429,0.001811,0.000329
frankie,0.000168,0.0,0.00022,0.000492,8.6e-05,0.000103,0.000626,0.000155,0.000351,0.019797
levels,0.000355,0.000199,0.019595,0.000107,0.000287,0.000217,0.000545,0.000216,0.000152,0.000163
punk,0.001721,0.000656,0.003477,0.009637,0.000259,0.000371,0.002617,0.001728,0.000816,0.00047
rotation,0.00018,0.0,0.000147,0.000125,0.0,0.000234,0.000177,0.020653,0.000141,9.2e-05
